user,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9
0,23,2902,29,47,17,20,14,54,45,81
1,16,2882,9,21,12,92,14,47,105,34
2,10,140,41,2554,84,6,6,105,133,31
3,170,39,79,2547,53,71,76,45,44,107
4,11,2718,79,39,18,10,86,89,109,22
5,2825,13,65,48,15,12,74,58,62,23
6,16,2992,56,41,7,34,13,30,22,13
7,2659,142,80,79,54,10,64,32,28,43
8,21,51,24,63,61,2812,33,69,9,34
9,1,92,60,26,2780,7,29,42,99,22
10,2748,34,47,88,64,13,20,33,110,37
11,51,2720,44,147,14,64,49,49,38,19
12,2852,42,71,15,34,23,93,21,48,24
13,2902,29,31,25,42,52,14,50,43,22
14,12,2800,10,16,34,6,89,35,46,22
15,2845,20,35,26,96,11,28,12,36,19
16,2747,71,48,36,24,97,18,14,87,59
17,2793,33,13,69,103,29,17,7,91,37
18,11,2806,9,28,139,91,15,12,61,55
19,2847,18,32,65,77,85,16,16,31,21
20,2484,19,90,60,125,107,115,132,76,12
21,14,75,35,29,5,2812,113,12,29,18
22,2776,42,19,14,20,88,5,34,126,65
23,2555,75,47,54,51,65,150,107,43,41
24,2817,55,69,25,40,23,15,29,31,21
25,2601,47,32,76,116,62,112,66,35,74
26,31,128,2696,37,108,22,21,81,14,6
27,2758,20,36,133,20,33,11,80,37,16
28,2916,9,29,40,40,10,52,56,35,48
29,97,2696,37,92,189,10,16,11,17,31
30,15,2947,10,28,24,5,43,18,54,77
31,82,2739,20,138,48,70,71,10,46,20
32,60,42,2801,115,33,35,67,27,22,26
33,2796,45,30,12,126,15,15,34,42,15
34,2446,148,178,53,27,74,30,88,65,109
35,158,2441,61,27,93,59,96,29,56,96
36,2785,28,58,83,49,19,20,15,42,22
37,89,120,2282,160,103,48,123,98,91,106
38,2581,75,39,23,66,102,69,23,186,52
39,6,40,83,39,2769,46,120,63,28,19
40,23,124,36,2816,12,17,45,74,12,29
41,79,119,2754,10,83,32,10,41,21,19
42,2915,34,41,19,37,59,27,6,9,53
43,2519,116,9,172,42,67,30,113,89,41
44,2860,9,78,67,93,13,12,7,5,53
45,2835,40,43,14,78,39,61,27,45,31
46,1,82,38,2838,25,71,54,67,10,23
47,13,130,73,56,2629,26,67,17,131,67
48,1,94,48,2850,84,54,21,7,37,18
49,2297,241,107,19,267,5,29,52,127,69
50,2818,13,124,45,49,24,126,6,6,34
51,2629,70,38,16,39,60,10,60,7,23
52,5,37,83,2731,21,96,30,134,17,46
53,225,227,197,129,261,124,1734,127,85,98
54,7,2768,58,6,28,35,57,15,60,44
55,7,93,109,2751,62,6,5,24,12,115
56,32,45,51,31,55,2913,17,35,12,10
57,2765,13,135,26,43,46,45,17,26,35
58,2837,65,12,86,52,38,27,11,25,33
59,2967,34,20,61,27,9,30,32,13,35
60,43,36,39,126,2646,32,34,106,63,91
61,39,341,1916,246,76,87,144,179,109,75
62,2595,102,85,59,28,123,88,15,49,50
63,113,2712,12,96,24,15,19,42,45,55
64,61,45,44,41,24,50,27,2831,59,9
65,25,2515,46,76,66,40,147,91,30,29
66,10,2784,15,48,66,80,57,59,24,75
67,2851,90,6,70,11,16,89,38,25,28
68,2780,55,53,116,17,21,24,118,12,6
69,16,2884,15,25,27,28,54,92,56,25
70,2669,11,26,106,91,27,51,22,11,156
71,2822,41,111,26,60,5,57,32,13,59
72,2738,17,73,121,28,11,23,10,18,77
73,17,2874,13,11,13,113,44,101,21,38
74,262,2002,118,64,104,250,83,191,75,66
75,51,2462,62,91,214,126,72,58,33,36
76,77,22,12,2860,17,25,58,11,29,27
77,32,7,53,59,2778,11,7,104,53,78
78,27,2802,29,55,18,59,74,25,36,13
79,74,2742,60,39,47,29,18,65,53,33
80,3016,36,23,27,8,27,22,14,23,17
81,161,2521,90,44,174,30,41,44,61,32
82,207,119,2438,103,58,76,58,39,60,52
83,41,2877,60,16,61,20,39,32,25,27
84,20,2721,169,143,87,4,4,25,16,3
85,1,37,35,2991,30,46,8,37,34,21
86,155,125,1,37,2553,26,80,48,25,110
87,24,51,2710,31,28,90,51,66,75,80
88,32,3015,14,10,7,16,18,33,30,23
89,19,2692,68,94,58,36,27,97,59,28
90,2976,23,49,16,8,31,6,45,20,22
91,1,2736,34,20,48,41,8,9,39,236
92,33,3,18,33,45,64,48,140,56,2693
93,28,17,2916,25,76,16,22,43,81,11
94,13,2877,10,16,47,29,37,72,48,73
95,2677,143,64,70,10,44,27,89,68,37
96,156,80,2572,95,41,37,50,52,35,90
97,5,48,51,147,77,42,37,2778,16,13
98,122,30,123,2753,8,18,90,10,9,10
99,122,28,56,2836,37,37,40,40,19,9
