user,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9
User0,23,2742,98,74,26,55,33,7,109,32
User1,9,51,2943,46,42,17,15,34,29,22
User2,8,40,91,16,51,2715,18,49,28,109
User3,455,164,2219,42,53,42,43,41,143,43
User4,2672,81,69,53,16,44,101,31,142,5
User5,42,2818,32,161,32,34,17,29,24,42
User6,27,3049,21,9,31,28,28,12,8,6
User7,37,2570,65,88,77,100,64,75,45,101
User8,2795,44,52,76,28,39,11,41,65,68
User9,2913,16,19,16,30,5,58,73,7,94
User10,2803,58,57,18,118,59,22,37,28,28
User11,115,19,183,2451,174,7,25,35,119,79
User12,31,2803,12,75,45,11,76,15,114,65
User13,44,68,2832,49,44,6,24,77,7,49
User14,22,2907,47,6,84,29,44,35,21,6
User15,2926,17,7,22,52,17,18,75,22,14
User16,2685,37,30,41,21,47,112,136,93,6
User17,45,2919,17,15,72,44,45,8,37,34
User18,8,2706,59,39,70,17,115,96,20,109
User19,3016,51,16,5,19,26,21,23,16,27
User20,98,2571,59,95,81,92,5,50,59,90
User21,9,109,29,61,17,2655,57,108,14,31
User22,8,2807,83,61,69,61,16,12,42,17
User23,47,2468,113,56,61,224,73,101,29,42
User24,2993,14,32,18,32,7,35,45,5,16
User25,139,67,2522,61,17,68,88,176,25,58
User26,16,2854,9,104,59,22,9,46,8,53
User27,13,17,2844,92,31,34,31,27,47,15
User28,2845,45,12,43,87,75,45,46,19,21
User29,2756,30,130,28,87,26,25,31,6,72
User30,2981,49,26,7,26,16,19,69,27,9
User31,16,243,44,2680,53,85,13,17,19,64
User32,32,2846,47,33,19,59,81,47,11,14
User33,35,32,30,2979,17,10,27,8,42,18
User34,2667,119,66,57,19,5,58,54,111,62
User35,203,53,66,47,41,2404,21,122,74,117
User36,27,2881,9,38,13,67,49,41,67,8
User37,2031,188,79,54,50,135,259,134,193,93
User38,6,34,2532,121,92,227,26,47,42,99
User39,9,2891,18,14,81,40,36,9,17,117
User40,61,26,2828,29,7,24,41,31,122,10
User41,2914,23,15,25,74,48,18,16,51,18
User42,2960,38,68,26,22,13,46,24,41,9
User43,18,2599,27,44,133,120,105,20,75,53
User44,107,30,29,23,2930,36,29,19,20,10
User45,19,65,32,2837,54,12,132,41,25,24
User46,2882,91,26,21,101,9,20,14,18,24
User47,54,2600,155,30,27,32,127,41,65,99
User48,2901,12,29,12,44,122,8,21,33,39
User49,203,20,114,65,2064,108,115,152,234,150
User50,8,86,42,16,31,2883,9,11,58,100
User51,11,2823,91,40,8,34,53,49,8,18
User52,2753,124,33,39,53,31,34,51,21,86
User53,58,130,239,192,149,179,2041,91,81,77
User54,2891,13,48,38,31,36,7,86,21,16
User55,22,2857,12,27,78,25,106,27,33,12
User56,55,8,2920,86,37,29,11,50,23,27
User57,2875,6,11,70,21,32,46,21,30,41
User58,114,37,31,2762,32,42,35,47,34,65
User59,35,2972,16,14,38,43,55,12,10,41
User60,58,2865,23,56,12,27,38,23,19,13
User61,52,2743,11,61,23,18,21,9,2,292
User62,79,2649,102,36,63,24,28,66,75,78
User63,9,21,40,2834,38,68,105,16,23,50
User64,2737,11,166,100,19,50,41,64,16,38
User65,2816,109,5,69,22,45,11,36,63,52
User66,2748,105,13,20,48,61,88,47,25,41
User67,79,2792,121,53,30,13,15,51,16,26
User68,6,2771,63,9,107,133,25,45,12,44
User69,21,2941,12,9,18,15,67,70,22,49
User70,23,58,101,2779,16,46,50,34,104,20
User71,2784,42,9,38,73,21,39,46,100,22
User72,1,2835,13,12,27,27,19,81,111,51
User73,45,2830,36,31,6,7,55,30,60,123
User74,1948,264,236,117,37,83,110,151,132,63
User75,101,2289,134,208,112,46,134,74,83,61
User76,2872,32,31,11,25,7,17,35,76,53
User77,5,1,46,55,13,128,28,126,101,2729
User78,2807,54,20,11,29,19,42,14,88,54
User79,99,2647,122,63,12,40,133,34,18,43
User80,13,3043,26,41,7,32,12,15,30,28
User81,26,118,2777,33,33,110,46,21,7,56
User82,28,42,124,51,2792,27,51,14,60,22
User83,2934,37,34,57,26,31,29,26,18,7
User84,20,272,2072,40,142,164,198,42,84,175
User85,100,2882,48,31,31,49,12,32,6,21
User86,173,285,127,24,2358,13,65,51,13,96
User87,46,1,64,2904,6,23,27,32,74,42
User88,6,2945,23,36,19,28,15,67,20,17
User89,111,2655,102,12,76,18,78,54,25,48
User90,2939,39,41,7,28,26,72,9,31,15
User91,162,2765,3,17,71,72,7,33,51,8
User92,48,38,29,138,2825,40,44,28,20,5
User93,2947,17,39,37,33,19,7,10,103,18
User94,26,2839,23,11,101,46,50,58,58,21
User95,60,2601,74,84,58,151,26,116,13,40
User96,398,54,22,48,2350,45,41,150,24,85
User97,5,2795,67,11,75,30,38,112,15,64
User98,133,98,88,71,49,32,59,2592,31,54
